Anno,Processo civile 3 gradi (anni),Processo penale 3 gradi (anni),Pendenze civili (migliaia),Pendenze penali (migliaia),Fonte,Note
2019,7.2,3.0,2900,1550,Ministero Giustizia / CPI,
2020,7.0,2.9,3000,1480,Ministero Giustizia / CPI,
2021,6.5,2.7,2950,1420,Ministero Giustizia / CPI,
2022,6.3,2.6,2850,1380,Ministero Giustizia / CPI,
2023,6.1,2.5,2750,1350,Ministero Giustizia / CPI,
2024,5.9,2.5,2700,1300,Ministero Giustizia / CPI,Stima
2025,5.8,2.4,2680,1260,Ministero Giustizia / CPI,I sem.
